WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
5,1,1,2,60,1,0.5,0.581947819,2,1,0.320143591
1,1,4,1,61,1,1.4,0.693954246,1,1,0.237605307
3,1,3,1,62,1,1.1,1.013965455,1,1,0.274529984
5,1,3,2,63,1,1.1,0.949981065,1,1,0.223289865
3,1,3,2,64,1,1.1,0.82201633,2,1,0.274529984
1,1,5,1,65,1,1.7,1.190058285,1,1,0.361783723
3,1,1,2,66,1,0.5,0.917886857,2,1,0.295422728
5,1,2,1,67,1,0.8,0.75802261,1,1,0.290358947
1,1,5,2,68,1,1.7,0.709978179,2,1,0.361783723
5,1,1,2,69,1,0.5,0.709932459,2,1,0.320143591
3,1,2,2,70,1,0.8,0.341991896,2,1,0.271512368
3,1,2,1,71,1,0.8,0.630027394,1,1,0.271512368
5,1,3,1,72,1,1.1,0.949993195,1,1,0.223289865
3,1,1,1,73,1,0.5,0.645957401,1,1,0.295422728
5,1,4,1,74,1,1.4,0.709982222,2,1,0.260420735
3,1,4,2,75,1,1.4,0.91795808,1,1,0.321464672
1,1,3,1,76,1,1.1,1.061929643,1,1,0.239658801
1,1,2,1,77,1,0.8,0.773971899,1,1,0.241125182
5,1,1,1,78,1,0.5,0.902000082,2,1,0.320143591
1,1,2,2,79,1,0.8,0.853957206,2,1,0.241125182
3,1,4,1,80,1,1.4,0.901942233,1,1,0.321464672
1,1,3,2,81,1,1.1,0.853818182,2,1,0.239658801
5,1,2,2,82,1,0.8,0.934040796,2,1,0.290358947
5,1,5,1,83,1,1.7,0.950027718,1,1,0.303182927
1,1,1,2,84,1,0.5,0.358091096,2,1,0.338838731
3,1,5,1,85,1,1.7,0.789980904,1,1,0.283030689
5,1,5,2,86,1,1.7,1.029912567,2,1,0.303182927
5,1,4,2,87,1,1.4,1.01397634,2,1,0.260420735
3,1,5,2,88,1,1.7,0.709939613,2,1,0.283030689
1,1,1,1,89,1,0.5,0.50196531,1,1,0.338838731
1,1,4,2,90,1,1.4,1.12590097,2,1,0.237605307
1,1,2,1,91,1,0.8,0.917910494,1,1,0.241125182
3,1,5,1,92,1,1.7,1.270010624,1,1,0.283030689
3,1,4,1,93,1,1.4,1.093924326,1,1,0.321464672
3,1,2,2,94,1,0.8,1.301971717,2,1,0.271512368
1,1,1,1,95,1,0.5,0.950003459,1,1,0.338838731
5,1,3,2,96,1,1.1,0.998013055,1,1,0.223289865
5,1,2,2,97,1,0.8,0.821977452,2,1,0.290358947
3,1,1,1,98,1,0.5,0.341967015,1,1,0.295422728
1,1,5,1,99,1,1.7,0.901923261,1,1,0.361783723
3,1,2,1,100,1,0.8,1.014036367,1,1,0.271512368
1,1,1,2,101,1,0.5,0.822047431,2,1,0.338838731
5,1,2,1,102,1,0.8,1.078004894,1,1,0.290358947
3,1,3,1,103,1,1.1,0.725920004,2,1,0.274529984
5,1,4,1,104,1,1.4,1.013831095,1,1,0.260420735
5,1,3,1,105,1,1.1,1.173988943,1,1,0.223289865
5,1,4,2,106,1,1.4,0.981921631,2,1,0.260420735
1,1,3,1,107,1,1.1,1.157918979,1,1,0.239658801
1,1,4,1,108,1,1.4,0.965971409,1,1,0.237605307
5,1,1,1,109,1,0.5,1.077967883,1,1,0.320143591
1,1,4,2,110,1,1.4,1.014004643,1,1,0.237605307
5,1,1,2,111,1,0.5,0.821989582,2,1,0.320143591
3,1,3,2,112,1,1.1,0.485977766,1,1,0.274529984
3,1,4,2,113,1,1.4,0.725990294,2,1,0.321464672
1,1,5,2,114,1,1.7,1.461963793,2,1,0.361783723
5,1,5,2,115,1,1.7,1.509991428,2,1,0.303182927
1,1,3,2,116,1,1.1,1.094094452,2,1,0.239658801
3,1,5,2,117,1,1.7,1.046032605,2,1,0.283030689
5,1,5,1,118,1,1.7,0.997984131,1,1,0.303182927
1,1,2,2,119,1,0.8,1.093957916,2,1,0.241125182
3,1,1,2,120,1,0.5,0.613927884,2,1,0.295422728
1,1,5,2,121,1,1.7,1.014031079,1,1,0.361783723
1,1,3,2,122,1,1.1,0.789913413,2,1,0.239658801
3,1,3,1,123,1,1.1,0.853988308,1,1,0.274529984
1,1,2,2,124,1,0.8,1.045892025,2,1,0.241125182
3,1,3,2,125,1,1.1,0.837981792,2,1,0.274529984
5,1,5,2,126,1,1.7,1.189995148,1,1,0.303182927
