target,setsize,dyn,resp,rt,sub,exp,correct
Absent,16,Dynamic,2,2.37126926739802,1,1,1
Absent,12,Dynamic,2,4.70068543116031,1,1,1
Absent,8,Dynamic,2,3.48892441405951,1,1,1
Absent,8,Dynamic,2,3.08888216746527,1,1,1
Present,8,Dynamic,1,1.26539605429389,1,1,1
Absent,12,Dynamic,2,2.2771335508678,1,1,1
Absent,12,Dynamic,2,3.86539794661439,1,1,1
Absent,8,Dynamic,2,4.46537580715267,1,1,1
Present,8,Dynamic,1,2.31238038574884,1,1,1
Absent,8,Dynamic,2,1.95949180751268,1,1,1
Present,16,Dynamic,1,1.80655351431233,1,1,1
Present,16,Dynamic,1,3.91243600256712,1,1,1
Present,8,Dynamic,1,1.15947930408765,1,1,1
Present,8,Dynamic,1,1.28893743843219,1,1,1
Absent,8,Dynamic,2,1.8182055205798,1,1,1
Absent,16,Dynamic,2,1.98303542715075,1,1,1
Absent,16,Dynamic,2,3.55953590064928,1,1,1
Present,8,Dynamic,1,1.79477869826405,1,1,1
Present,8,Dynamic,1,0.68891576043643,1,1,1
Present,12,Dynamic,1,1.1123605218836,1,1,1
Absent,16,Dynamic,2,2.7006741684545,1,1,1
Absent,16,Dynamic,2,2.11244018285106,1,1,1
Present,16,Dynamic,1,0.677117468974757,1,1,1
Present,12,Dynamic,1,1.68891355233973,1,1,1
Absent,8,Dynamic,2,2.17128858759315,1,1,1
Absent,12,Dynamic,2,2.23009388094761,1,1,1
Present,8,Dynamic,1,1.17125943554493,1,1,1
Present,8,Dynamic,1,0.794677554116788,1,1,1
Absent,12,Dynamic,2,3.44185224886496,1,1,1
Absent,12,Dynamic,2,3.1006801431522,1,1,1
Present,12,Dynamic,1,1.19482384666298,1,1,1
Present,16,Dynamic,1,1.44185572274364,1,1,1
Present,12,Dynamic,1,0.853582726173045,1,1,1
Present,16,Dynamic,1,1.26536513322753,1,1,1
Absent,8,Dynamic,2,1.85361241153259,1,1,1
Absent,12,Dynamic,2,2.00655665938211,1,1,1
Absent,8,Dynamic,2,2.28893023838646,1,1,1
Absent,16,Dynamic,2,3.41833371828034,1,1,1
Present,8,Dynamic,1,0.935976532267887,1,1,1
Absent,8,Dynamic,2,1.18303822637063,1,1,1
Present,12,Dynamic,1,0.75948604801124,1,1,1
Absent,16,Dynamic,2,2.59482384398871,1,1,1
Absent,16,Dynamic,2,2.26539031016364,1,1,1
Present,16,Dynamic,1,1.30067001323187,1,1,1
Present,8,Dynamic,1,1.17124029111619,1,1,1
Absent,8,Dynamic,2,1.77121690124295,1,1,1
Absent,12,Dynamic,2,2.67715146760929,1,1,1
Present,16,Dynamic,1,1.24184224959936,1,1,1
Present,16,Static,1,1.10895653039825,2,1,1
Present,8,Static,1,1.30067636619424,2,1,1
Absent,12,Static,2,1.33592068488542,2,1,1
Present,12,Static,1,0.947675679839449,2,1,1
Absent,8,Static,2,1.1359586609733,2,1,1
Present,12,Static,1,1.2418150476833,2,1,1
Present,12,Static,1,1.70067636886779,2,1,1
Absent,12,Static,2,1.45358759314604,2,1,1
Present,16,Static,1,0.724233381451995,2,1,1
Present,16,Static,1,1.13603363273614,2,1,1
Absent,16,Static,2,1.72418157667926,2,1,1
Present,8,Static,1,0.747724083913454,2,1,1
Absent,16,Static,2,1.5948114033863,2,1,1
Present,8,Static,1,0.853619120704025,2,1,1
Present,12,Static,1,1.78304664975894,2,1,1
Present,8,Static,1,0.806538219018876,2,1,1
Present,12,Static,1,1.05362438365046,2,1,1
Absent,8,Static,2,0.900678992989015,2,1,1
Absent,16,Static,2,1.87709587585414,2,1,1
Present,16,Static,1,1.33597212910445,2,1,1
Absent,8,Static,2,1.11243832561377,2,1,1
Absent,12,Static,2,1.75950481183736,2,1,1
Present,16,Static,1,0.936007300626443,2,1,1
Absent,12,Static,2,0.994864812439118,2,1,1
Present,8,Static,1,0.830067864613738,2,1,1
Absent,16,Static,2,1.70074615788144,2,1,1
Absent,8,Static,2,1.44184915391816,2,1,1
Absent,16,Static,2,1.83011084768532,2,1,1
Absent,12,Static,2,2.1006674018081,2,1,1
Absent,8,Static,2,1.19478179588441,2,1,1
Absent,12,Static,2,1.54808189880441,2,1,1
Absent,16,Static,2,1.43007453335213,2,1,1
Absent,16,Static,2,1.6183341443284,2,1,1
Absent,16,Static,2,1.7477649344055,2,1,1
Present,16,Static,1,1.04176166870548,2,1,1
Present,12,Static,1,0.688877964793392,2,1,1
Present,12,Static,1,0.971296687183894,2,1,1
Absent,16,Static,2,2.21830325333667,2,1,1
Absent,8,Static,2,1.71242694027296,2,1,1
Absent,8,Static,2,1.25360054734665,2,1,1
Absent,12,Static,2,1.48886184781259,2,1,1
Absent,12,Static,2,0.994780151506347,2,1,1
Present,12,Static,1,0.900741479038516,2,1,1
Absent,8,Static,2,0.982992767207179,2,1,1
Present,16,Static,1,1.00654659696193,2,1,1
Present,16,Static,1,1.17125396742631,2,1,1
Present,12,Static,1,0.924195440784388,2,1,1
Absent,12,Static,2,1.43007523507913,2,1,1
Present,16,Static,1,0.794822668764937,2,1,1
Absent,16,Static,2,2.33596854261486,2,1,1
Absent,8,Static,2,1.31243544352492,2,1,1
Present,8,Static,1,0.61828764494021,2,1,1
Absent,8,Static,2,1.21832677620296,2,1,1
Present,8,Static,1,0.700633205017766,2,1,1
Present,8,Static,1,0.783063142997889,2,1,1
Present,16,Static,1,0.841849865670156,2,1,1
Absent,12,Static,2,2.44186418589743,2,1,1
Present,12,Static,1,0.77133561795381,2,1,1
Present,8,Static,1,0.677133363073153,2,1,1
Present,8,Static,1,0.547733471673382,2,1,1
Present,8,Dynamic,1,1.23010752952268,2,1,1
Present,12,Dynamic,1,2.93598105840374,2,1,1
Present,16,Dynamic,1,2.86537433820558,2,1,1
Absent,8,Dynamic,2,2.07717669968133,2,1,1
Absent,16,Dynamic,2,3.03008038040298,2,1,1
Present,12,Dynamic,1,1.10065238987954,2,1,1
Present,8,Dynamic,1,0.771231962961792,2,1,1
Present,16,Dynamic,1,0.66533680086377,2,1,1
Absent,8,Dynamic,2,1.70068239870034,2,1,1
Present,16,Dynamic,1,0.747713121612833,2,1,1
Absent,16,Dynamic,2,2.41833195160143,2,1,1
Present,8,Dynamic,1,1.32421113706368,2,1,1
Absent,8,Dynamic,2,1.93596169577177,2,1,1
Present,8,Dynamic,1,0.841920865328575,2,1,1
Absent,12,Dynamic,2,2.04184950979379,2,1,1
Absent,12,Dynamic,2,3.50073529148358,2,1,1
Absent,16,Dynamic,2,2.27715678068034,2,1,1
Present,16,Dynamic,1,1.40657511210884,2,1,1
Absent,12,Dynamic,2,1.85361678996924,2,1,1
Absent,16,Dynamic,2,2.08890466781577,2,1,1
Absent,8,Dynamic,2,2.24186025121799,2,1,1
Absent,8,Dynamic,2,2.05361610060754,2,1,1
Present,16,Dynamic,1,0.912422333941322,2,1,1
Present,8,Dynamic,1,1.00654015143937,2,1,1
Present,12,Dynamic,1,0.853596700550042,2,1,1
Present,12,Dynamic,1,0.865362341359287,2,1,1
Absent,12,Dynamic,1,1.38302044295597,2,1,0
Absent,12,Dynamic,-1,4.99419692443371,2,1,0
Absent,16,Dynamic,1,2.91244993417149,2,1,0
Present,12,Dynamic,2,0.653636370471759,2,1,0
Absent,16,Static,2,3.93596293114388,2,1,1
Absent,16,Static,2,2.2065525719936,2,1,1
